"","Cve_Mpio","Anual","Año","RHA"
"1","10001","477.329528986937",2021,"III Pacífico Norte"
"20","10001","478.594551453091",2019,"III Pacífico Norte"
"39","10001","477.329528986937",2023,"III Pacífico Norte"
"58","10001","477.329529024238",2020,"III Pacífico Norte"
"77","10001","477.329528986937",2022,"III Pacífico Norte"
"96","10002","644.147549610492",2023,"III Pacífico Norte"
"115","10002","644.172899001564",2020,"III Pacífico Norte"
"134","10002","652.481677507421",2019,"III Pacífico Norte"
"153","10002","644.147549840055",2022,"III Pacífico Norte"
"172","10002","644.147626076799",2021,"III Pacífico Norte"
"191","10003","867.744161840696",2023,"VII Cuencas Centrales del Norte"
"210","10003","783.893093787426",2022,"VII Cuencas Centrales del Norte"
"229","10003","647.66400995344",2020,"VII Cuencas Centrales del Norte"
"248","10003","653.988035529101",2019,"VII Cuencas Centrales del Norte"
"267","10003","684.258077192917",2021,"VII Cuencas Centrales del Norte"
"286","10004","337.804216853868",2019,"VII Cuencas Centrales del Norte"
"305","10004","317.3881748425",2023,"VII Cuencas Centrales del Norte"
"324","10004","309.113401260449",2020,"VII Cuencas Centrales del Norte"
"343","10004","321.10479628629",2021,"VII Cuencas Centrales del Norte"
"362","10004","312.340758385926",2022,"VII Cuencas Centrales del Norte"
"381","10005","721.080812765904",2019,"III Pacífico Norte"
"400","10005","791.78288651491",2022,"III Pacífico Norte"
"419","10005","743.605854602872",2020,"III Pacífico Norte"
"438","10005","767.316355450673",2021,"III Pacífico Norte"
"457","10005","817.029553618298",2023,"III Pacífico Norte"
"476","10006","278.981648360057",2020,"VII Cuencas Centrales del Norte"
"495","10006","278.981648282667",2022,"VII Cuencas Centrales del Norte"
"514","10006","278.981648282667",2021,"VII Cuencas Centrales del Norte"
"533","10006","278.981648282667",2023,"VII Cuencas Centrales del Norte"
"552","10006","281.401355810853",2019,"VII Cuencas Centrales del Norte"
"571","10007","172.218128588506",2020,"VII Cuencas Centrales del Norte"
"590","10007","173.817596532364",2019,"VII Cuencas Centrales del Norte"
"609","10007","172.218128588506",2023,"VII Cuencas Centrales del Norte"
"628","10007","172.218128588506",2022,"VII Cuencas Centrales del Norte"
"647","10007","172.218128588506",2021,"VII Cuencas Centrales del Norte"
"666","10008","433.259434732585",2019,"III Pacífico Norte"
"685","10008","440.596564908118",2020,"III Pacífico Norte"
"704","10008","441.420411586351",2021,"III Pacífico Norte"
"723","10008","438.995136320299",2022,"III Pacífico Norte"
"742","10008","439.009513323558",2023,"III Pacífico Norte"
"761","10009","465.650211764189",2020,"VII Cuencas Centrales del Norte"
"780","10009","465.309783117212",2021,"VII Cuencas Centrales del Norte"
"799","10009","465.309783116804",2023,"VII Cuencas Centrales del Norte"
"818","10009","472.592953284049",2019,"VII Cuencas Centrales del Norte"
"837","10009","465.309783116804",2022,"VII Cuencas Centrales del Norte"
"856","1001","486.190051373672",2020,"VIII Lerma Santiago Pacífico"
"875","1001","497.0677336741",2023,"VIII Lerma Santiago Pacífico"
"894","1001","476.284489380304",2019,"VIII Lerma Santiago Pacífico"
"913","1001","504.14031217334",2021,"VIII Lerma Santiago Pacífico"
"932","1001","498.850080968748",2022,"VIII Lerma Santiago Pacífico"
"951","10010","341.149283273296",2019,"VII Cuencas Centrales del Norte"
"970","10010","337.556100453492",2020,"VII Cuencas Centrales del Norte"
"989","10010","337.555438009097",2021,"VII Cuencas Centrales del Norte"
"1008","10010","337.55543788676",2022,"VII Cuencas Centrales del Norte"
"1027","10010","337.555437886737",2023,"VII Cuencas Centrales del Norte"
"1046","10011","342.120865327919",2023,"VII Cuencas Centrales del Norte"
"1065","10011","342.12086543906",2022,"VII Cuencas Centrales del Norte"
"1084","10011","342.145078524845",2020,"VII Cuencas Centrales del Norte"
"1103","10011","354.067342744465",2019,"VII Cuencas Centrales del Norte"
"1122","10011","342.12091725481",2021,"VII Cuencas Centrales del Norte"
"1141","10012","206.723659693135",2019,"VII Cuencas Centrales del Norte"
"1160","10012","199.904645646433",2021,"VII Cuencas Centrales del Norte"
"1179","10012","199.904641477609",2023,"VII Cuencas Centrales del Norte"
"1198","10012","199.910033325891",2020,"VII Cuencas Centrales del Norte"
"1217","10012","199.904641480808",2022,"VII Cuencas Centrales del Norte"
"1236","10013","317.294502700713",2019,"VII Cuencas Centrales del Norte"
"1255","10013","335.399600622682",2022,"VII Cuencas Centrales del Norte"
"1274","10013","330.310635636901",2021,"VII Cuencas Centrales del Norte"
"1293","10013","340.566969526363",2023,"VII Cuencas Centrales del Norte"
"1312","10013","325.659456455163",2020,"VII Cuencas Centrales del Norte"
"1331","10014","653.818849821792",2023,"III Pacífico Norte"
"1350","10014","653.801090183052",2019,"III Pacífico Norte"
"1369","10014","653.818849821792",2021,"III Pacífico Norte"
"1388","10014","653.818849815299",2020,"III Pacífico Norte"
"1407","10014","653.818849821792",2022,"III Pacífico Norte"
"1426","10015","232.516870191771",2020,"VII Cuencas Centrales del Norte"
"1445","10015","233.880567025418",2022,"VII Cuencas Centrales del Norte"
"1464","10015","234.26161719974",2023,"VII Cuencas Centrales del Norte"
"1483","10015","240.896060520871",2019,"VII Cuencas Centrales del Norte"
"1502","10015","234.858900464147",2021,"VII Cuencas Centrales del Norte"
"1521","10016","442.487966483688",2020,"III Pacífico Norte"
"1540","10016","443.015925968998",2019,"III Pacífico Norte"
"1559","10016","442.487960741442",2023,"III Pacífico Norte"
"1578","10016","442.487960741577",2021,"III Pacífico Norte"
"1597","10016","442.487960741442",2022,"III Pacífico Norte"
"1616","10017","373.353368073719",2019,"VII Cuencas Centrales del Norte"
"1635","10017","371.895477561185",2020,"VII Cuencas Centrales del Norte"
"1654","10017","371.895385663943",2021,"VII Cuencas Centrales del Norte"
"1673","10017","371.895385659489",2022,"VII Cuencas Centrales del Norte"
"1692","10017","371.895385659489",2023,"VII Cuencas Centrales del Norte"
"1711","10018","390.891117611638",2019,"VII Cuencas Centrales del Norte"
"1730","10018","379.211339804298",2020,"VII Cuencas Centrales del Norte"
"1749","10018","379.190838018696",2021,"VII Cuencas Centrales del Norte"
"1768","10018","379.190800247246",2022,"VII Cuencas Centrales del Norte"
"1787","10018","379.19080017765",2023,"VII Cuencas Centrales del Norte"
"1806","10019","549.036810596634",2020,"III Pacífico Norte"
"1825","10019","549.007947507242",2023,"III Pacífico Norte"
"1844","10019","562.529832952993",2019,"III Pacífico Norte"
"1863","10019","549.007947645145",2022,"III Pacífico Norte"
"1882","10019","549.008010669111",2021,"III Pacífico Norte"
"1901","1002","405.37966700811",2023,"VIII Lerma Santiago Pacífico"
"1920","1002","405.37966700811",2021,"VIII Lerma Santiago Pacífico"
"1939","1002","405.379666908093",2020,"VIII Lerma Santiago Pacífico"
"1958","1002","405.37966700811",2022,"VIII Lerma Santiago Pacífico"
"1977","1002","404.055983497203",2019,"VIII Lerma Santiago Pacífico"
"1996","10020","476.984652756395",2022,"III Pacífico Norte"
"2015","10020","481.187315368826",2023,"III Pacífico Norte"
"2034","10020","495.452819420376",2020,"III Pacífico Norte"
"2053","10020","477.705077366866",2021,"III Pacífico Norte"
"2072","10020","502.140429649892",2019,"III Pacífico Norte"
"2091","10021","326.808908463354",2022,"VII Cuencas Centrales del Norte"
"2110","10021","324.966692977709",2020,"VII Cuencas Centrales del Norte"
"2129","10021","327.246753609595",2023,"VII Cuencas Centrales del Norte"
"2148","10021","341.069207544715",2019,"VII Cuencas Centrales del Norte"
"2167","10021","328.105544237466",2021,"VII Cuencas Centrales del Norte"
"2186","10022","418.734059899874",2021,"III Pacífico Norte"
"2205","10022","415.079617135671",2022,"III Pacífico Norte"
"2224","10022","422.411236435118",2019,"III Pacífico Norte"
"2243","10022","413.047535054104",2020,"III Pacífico Norte"
"2262","10022","417.28647567248",2023,"III Pacífico Norte"
"2281","10023","671.742331697621",2019,"III Pacífico Norte"
"2300","10023","670.690542276151",2020,"III Pacífico Norte"
"2319","10023","670.690540490624",2021,"III Pacífico Norte"
